Customer ID,Date,Category,Source,Amount
1,18/10/2024,Transfers,Transfers,4424.33
1,2024-03-27,Loan EMI Payment,HDFC Loan,3857.42
1,2024-02-22,Transfers,Transfers,1642.23
1,"Nov 26, 2024",Food & Dining,Swiggy,402.55
1,"May 29, 2024",Utility Bill,Broadband,4082.22
1,2024-05-18,Shopping,Myntra,3542.65
1,09/05/2024,Transfers,Transfers,2173.14
1,07/04/2024,Food & Dining,Starbucks,4104.27
1,"Nov 25, 2024",Utility Bill,Gas,1553.35
1,"Mar 23, 2024",Food & Dining,Zomato,581.91
1,2024-11-01,Utility Bill,Water,1672.15
1,26/11/2024,Loan EMI Payment,SBI Home Loan,3297.22
1,24/01/2025,Cash Withdrawals,Cash Withdrawals,3754.94
1,11/09/2024,Shopping,Amazon,4141.63
1,2024-03-17,Salary Credit,Salary Credit,96192.93
1,29/09/2024,Loan EMI Payment,SBI Home Loan,4205.84
1,2024-07-25,Cash Withdrawals,Cash Withdrawals,2825.28
1,"Feb 25, 2024",Utility Bill,Gas,3804.16
1,2024-02-24,Salary Credit,Salary Credit,57005.64
1,20/03/2024,Salary Credit,Salary Credit,34133.26
1,"May 07, 2024",Food & Dining,Starbucks,4824.95
1,2024-05-13,Transfers,Transfers,4317.89
1,"Aug 27, 2024",Shopping,Myntra,4305.51
1,03/10/2024,Cash Withdrawals,Cash Withdrawals,2306.08
1,2024-02-23,Cash Withdrawals,Cash Withdrawals,3187.15
1,"Sep 17, 2024",Transfers,Transfers,1415.24
1,"Apr 30, 2024",Cash Withdrawals,Cash Withdrawals,1240.75
1,17/11/2024,Food & Dining,Starbucks,4816.05
1,"Oct 22, 2024",Loan EMI Payment,HDFC Loan,539.07
1,"Nov 11, 2024",Food & Dining,Swiggy,4017.79
1,11/09/2024,Food & Dining,Starbucks,2369.95
1,"Jul 24, 2024",Utility Bill,Electricity,2687.36
1,08/05/2024,Transfers,Transfers,176.1
1,2024-08-05,Shopping,Amazon,942.69
1,28/09/2024,Loan EMI Payment,SBI Home Loan,3727.27
1,"May 31, 2024",Shopping,Flipkart,3876.37
1,2024-12-23,Salary Credit,Salary Credit,46510.26
1,2025-01-15,Shopping,Amazon,3786.42
1,2024-02-15,Shopping,Myntra,2748.0
1,"Dec 03, 2024",Loan EMI Payment,ICICI EMI,4486.09
1,"Dec 21, 2024",Loan EMI Payment,HDFC Loan,906.92
1,"Apr 15, 2024",Transfers,Transfers,2399.85
1,2024-11-10,Food & Dining,Zomato,4491.94
1,26/07/2024,Salary Credit,Salary Credit,59411.55
1,"Jun 24, 2024",Loan EMI Payment,SBI Home Loan,3753.76
1,30/05/2024,Loan EMI Payment,SBI Home Loan,3029.18
1,"Apr 13, 2024",Cash Withdrawals,Cash Withdrawals,4678.08
1,2024-05-06,Cash Withdrawals,Cash Withdrawals,1594.76
1,"Dec 05, 2024",Cash Withdrawals,Cash Withdrawals,2992.03
1,2024-06-22,Shopping,Flipkart,972.74
2,23/03/2024,Utility Bill,Broadband,2224.85
2,"Mar 20, 2024",Shopping,Flipkart,1249.62
2,"Jul 09, 2024",Loan EMI Payment,SBI Home Loan,326.52
2,21/03/2024,Shopping,Flipkart,2692.3
2,"Jul 01, 2024",Loan EMI Payment,SBI Home Loan,2825.18
2,07/01/2025,Transfers,Transfers,1635.23
2,2024-06-25,Transfers,Transfers,3769.84
2,04/10/2024,Cash Withdrawals,Cash Withdrawals,4196.36
2,25/05/2024,Transfers,Transfers,812.05
2,"Dec 22, 2024",Loan EMI Payment,HDFC Loan,4275.1
2,29/02/2024,Cash Withdrawals,Cash Withdrawals,323.45
2,2024-11-22,Utility Bill,Gas,1145.5
2,09/08/2024,Utility Bill,Water,4504.25
2,"Sep 08, 2024",Transfers,Transfers,3799.65
2,"Apr 01, 2024",Utility Bill,Gas,2399.1
2,2025-02-05,Shopping,Amazon,4492.45
2,"Jul 09, 2024",Loan EMI Payment,HDFC Loan,3037.07
2,2024-03-14,Salary Credit,Salary Credit,83575.68
2,"Sep 14, 2024",Utility Bill,Broadband,513.16
2,"Jun 05, 2024",Utility Bill,Electricity,4392.02
2,31/12/2024,Salary Credit,Salary Credit,73173.7
2,2024-10-14,Transfers,Transfers,3229.89
2,"Oct 10, 2024",Salary Credit,Salary Credit,56829.24
2,2025-01-21,Salary Credit,Salary Credit,39087.13
2,12/01/2025,Loan EMI Payment,ICICI EMI,4968.63
2,2024-07-02,Food & Dining,Starbucks,2256.34
2,24/09/2024,Salary Credit,Salary Credit,55237.13
2,"Apr 27, 2024",Food & Dining,Starbucks,4831.88
2,12/11/2024,Salary Credit,Salary Credit,70304.19
2,"Mar 11, 2024",Food & Dining,Swiggy,324.87
2,01/03/2024,Shopping,Myntra,2722.56
2,26/10/2024,Shopping,Amazon,1533.51
2,11/05/2024,Loan EMI Payment,ICICI EMI,241.67
2,2024-12-09,Salary Credit,Salary Credit,80711.69
2,04/06/2024,Loan EMI Payment,SBI Home Loan,590.18
2,"Mar 14, 2024",Salary Credit,Salary Credit,78848.73
2,2025-01-10,Transfers,Transfers,4057.19
2,"May 13, 2024",Transfers,Transfers,1063.33
2,2025-01-14,Cash Withdrawals,Cash Withdrawals,2285.51
2,"Mar 23, 2024",Utility Bill,Broadband,3404.93
2,09/07/2024,Loan EMI Payment,SBI Home Loan,638.49
2,"May 30, 2024",Food & Dining,Starbucks,1341.34
2,"Aug 07, 2024",Salary Credit,Salary Credit,70262.78
2,16/10/2024,Food & Dining,Swiggy,1445.32
2,01/01/2025,Transfers,Transfers,4469.29
2,2024-07-03,Cash Withdrawals,Cash Withdrawals,4315.01
2,16/04/2024,Food & Dining,Swiggy,568.69
2,"Jul 05, 2024",Utility Bill,Water,3756.27
2,2024-06-29,Transfers,Transfers,2859.17
2,04/05/2024,Transfers,Transfers,635.51
3,2024-10-30,Cash Withdrawals,Cash Withdrawals,2720.26
3,"May 26, 2024",Transfers,Transfers,1389.81
3,"Nov 11, 2024",Food & Dining,Swiggy,3946.49
3,10/02/2025,Transfers,Transfers,3547.79
3,2024-11-04,Transfers,Transfers,3381.24
3,"Oct 21, 2024",Shopping,Flipkart,4004.62
3,2024-03-11,Loan EMI Payment,HDFC Loan,290.17
3,06/10/2024,Food & Dining,Starbucks,4657.15
3,16/10/2024,Transfers,Transfers,3708.02
3,"Apr 19, 2024",Salary Credit,Salary Credit,58594.7
3,2024-09-07,Loan EMI Payment,HDFC Loan,388.07
3,2024-11-22,Loan EMI Payment,SBI Home Loan,344.15
3,18/05/2024,Utility Bill,Broadband,4493.58
3,16/04/2024,Transfers,Transfers,3211.8
3,10/08/2024,Utility Bill,Broadband,2234.61
3,"Jul 09, 2024",Food & Dining,Swiggy,4361.14
3,2024-05-27,Loan EMI Payment,HDFC Loan,2129.31
3,06/02/2025,Transfers,Transfers,2730.27
3,2024-10-18,Food & Dining,Starbucks,3880.41
3,"Nov 06, 2024",Cash Withdrawals,Cash Withdrawals,1110.03
3,16/09/2024,Loan EMI Payment,SBI Home Loan,2617.34
3,08/05/2024,Shopping,Amazon,2410.35
3,2024-11-04,Cash Withdrawals,Cash Withdrawals,3184.71
3,"Jun 17, 2024",Salary Credit,Salary Credit,83331.81
3,05/01/2025,Utility Bill,Water,1467.91
3,"Dec 07, 2024",Loan EMI Payment,SBI Home Loan,2241.61
3,10/12/2024,Cash Withdrawals,Cash Withdrawals,4112.22
3,2024-03-05,Food & Dining,Zomato,3153.02
3,2024-05-11,Transfers,Transfers,744.54
3,2024-12-28,Loan EMI Payment,HDFC Loan,1897.88
3,25/02/2024,Transfers,Transfers,345.37
3,"Dec 21, 2024",Cash Withdrawals,Cash Withdrawals,3925.43
3,2024-06-14,Salary Credit,Salary Credit,91977.75
3,2024-07-17,Salary Credit,Salary Credit,51175.78
3,"May 26, 2024",Salary Credit,Salary Credit,93733.12
3,2024-03-09,Food & Dining,Zomato,2220.34
3,04/05/2024,Salary Credit,Salary Credit,86857.23
3,2025-02-01,Loan EMI Payment,HDFC Loan,2065.89
3,"Sep 20, 2024",Salary Credit,Salary Credit,88709.24
3,2025-01-18,Food & Dining,Starbucks,4338.38
3,"Nov 17, 2024",Cash Withdrawals,Cash Withdrawals,1627.75
3,"Jun 14, 2024",Food & Dining,Swiggy,1199.88
3,05/05/2024,Cash Withdrawals,Cash Withdrawals,580.12
3,"Oct 24, 2024",Utility Bill,Electricity,3805.75
3,"Aug 24, 2024",Food & Dining,Zomato,252.38
3,2024-07-15,Loan EMI Payment,ICICI EMI,4169.21
3,"Jan 21, 2025",Food & Dining,Zomato,847.07
3,2025-02-02,Salary Credit,Salary Credit,88907.65
3,2024-10-19,Loan EMI Payment,HDFC Loan,4511.11
3,09/08/2024,Cash Withdrawals,Cash Withdrawals,4248.33
4,2024-04-08,Salary Credit,Salary Credit,38873.0
4,25/05/2024,Shopping,Flipkart,4802.54
4,2024-04-07,Transfers,Transfers,1521.75
4,18/05/2024,Shopping,Myntra,362.14
4,"Nov 28, 2024",Salary Credit,Salary Credit,45606.49
4,"Sep 18, 2024",Utility Bill,Electricity,2201.06
4,09/09/2024,Salary Credit,Salary Credit,36712.75
4,"May 25, 2024",Food & Dining,Swiggy,2558.44
4,29/11/2024,Shopping,Flipkart,3112.42
4,2024-09-27,Loan EMI Payment,SBI Home Loan,378.84
4,28/07/2024,Transfers,Transfers,782.94
4,2025-01-26,Utility Bill,Gas,806.69
4,2024-09-26,Salary Credit,Salary Credit,36553.33
4,17/07/2024,Salary Credit,Salary Credit,97280.91
4,"Jul 02, 2024",Food & Dining,Zomato,1618.79
4,2024-05-08,Shopping,Amazon,98.82
4,"Apr 06, 2024",Loan EMI Payment,SBI Home Loan,2781.66
4,"Aug 28, 2024",Cash Withdrawals,Cash Withdrawals,793.61
4,"Aug 22, 2024",Transfers,Transfers,4516.02
4,2024-03-19,Loan EMI Payment,ICICI EMI,2159.13
4,02/12/2024,Food & Dining,Starbucks,4320.64
4,2024-03-02,Salary Credit,Salary Credit,95081.62
4,12/01/2025,Transfers,Transfers,2890.43
4,"Mar 26, 2024",Cash Withdrawals,Cash Withdrawals,1250.39
4,2024-04-12,Utility Bill,Gas,4422.71
4,13/10/2024,Shopping,Flipkart,2624.54
4,"Apr 15, 2024",Cash Withdrawals,Cash Withdrawals,1096.23
4,2024-12-16,Food & Dining,Starbucks,598.45
4,03/11/2024,Salary Credit,Salary Credit,44231.81
4,25/07/2024,Salary Credit,Salary Credit,99698.3
4,"Oct 01, 2024",Loan EMI Payment,ICICI EMI,4742.66
4,"Mar 08, 2024",Cash Withdrawals,Cash Withdrawals,4479.58
4,2024-07-11,Utility Bill,Broadband,4455.98
4,"Jul 10, 2024",Loan EMI Payment,ICICI EMI,970.25
4,2024-10-01,Loan EMI Payment,ICICI EMI,1925.23
4,"Aug 12, 2024",Shopping,Myntra,3061.11
4,"Sep 05, 2024",Transfers,Transfers,3356.98
4,2024-05-20,Food & Dining,Starbucks,3098.51
4,2024-09-14,Loan EMI Payment,HDFC Loan,695.46
4,"Jan 12, 2025",Salary Credit,Salary Credit,59201.92
4,"Feb 17, 2024",Transfers,Transfers,2016.66
4,"Nov 03, 2024",Shopping,Amazon,3816.63
4,18/11/2024,Food & Dining,Swiggy,1134.09
4,28/03/2024,Salary Credit,Salary Credit,42695.21
4,2024-11-03,Shopping,Myntra,4460.11
4,21/01/2025,Transfers,Transfers,3589.73
4,"Sep 08, 2024",Cash Withdrawals,Cash Withdrawals,143.12
4,2024-11-30,Shopping,Myntra,4177.41
4,"May 26, 2024",Transfers,Transfers,2063.57
4,07/12/2024,Loan EMI Payment,SBI Home Loan,2481.1
5,18/10/2024,Salary Credit,Salary Credit,95653.15
5,2024-06-24,Loan EMI Payment,HDFC Loan,3412.1
5,"Mar 27, 2024",Shopping,Amazon,2980.3
5,"Jun 05, 2024",Cash Withdrawals,Cash Withdrawals,3177.2
5,"Jul 30, 2024",Loan EMI Payment,HDFC Loan,3911.73
5,"Apr 14, 2024",Utility Bill,Gas,1967.36
5,07/08/2024,Food & Dining,Starbucks,2313.31
5,14/02/2024,Salary Credit,Salary Credit,65790.13
5,"Nov 19, 2024",Salary Credit,Salary Credit,89403.96
5,2025-01-18,Food & Dining,Starbucks,242.54
5,"Nov 18, 2024",Food & Dining,Zomato,3126.09
5,"May 25, 2024",Salary Credit,Salary Credit,81704.81
5,2024-08-25,Loan EMI Payment,ICICI EMI,708.01
5,04/12/2024,Salary Credit,Salary Credit,34026.2
5,"Apr 22, 2024",Loan EMI Payment,SBI Home Loan,3807.91
5,28/08/2024,Loan EMI Payment,SBI Home Loan,2432.6
5,01/02/2025,Food & Dining,Zomato,935.96
5,"Mar 25, 2024",Salary Credit,Salary Credit,36863.16
5,16/01/2025,Food & Dining,Swiggy,51.6
5,2024-10-12,Utility Bill,Water,4251.28
5,07/06/2024,Cash Withdrawals,Cash Withdrawals,180.19
5,"Jan 04, 2025",Shopping,Flipkart,625.52
5,"Oct 18, 2024",Cash Withdrawals,Cash Withdrawals,2272.41
5,2024-08-28,Food & Dining,Swiggy,2266.39
5,"Oct 06, 2024",Salary Credit,Salary Credit,43193.26
5,30/04/2024,Loan EMI Payment,HDFC Loan,1058.51
5,"Apr 12, 2024",Loan EMI Payment,HDFC Loan,4074.76
5,2024-07-07,Cash Withdrawals,Cash Withdrawals,539.65
5,"Dec 05, 2024",Utility Bill,Gas,2107.73
5,15/04/2024,Loan EMI Payment,ICICI EMI,310.38
5,"Sep 09, 2024",Food & Dining,Swiggy,2298.16
5,2024-12-11,Salary Credit,Salary Credit,38642.68
5,2025-02-05,Loan EMI Payment,ICICI EMI,2121.51
5,"Sep 05, 2024",Food & Dining,Zomato,1356.48
5,2025-02-03,Transfers,Transfers,2687.01
5,13/02/2024,Cash Withdrawals,Cash Withdrawals,4092.63
5,2024-10-02,Cash Withdrawals,Cash Withdrawals,324.95
5,"Jun 17, 2024",Cash Withdrawals,Cash Withdrawals,2290.11
5,2024-08-20,Cash Withdrawals,Cash Withdrawals,3545.0
5,2024-02-20,Cash Withdrawals,Cash Withdrawals,3288.7
5,27/03/2024,Utility Bill,Broadband,1256.73
5,2025-02-07,Cash Withdrawals,Cash Withdrawals,1691.36
5,2024-07-02,Food & Dining,Starbucks,4928.56
5,"Jan 19, 2025",Shopping,Amazon,1105.79
5,31/12/2024,Cash Withdrawals,Cash Withdrawals,1060.42
5,"Dec 22, 2024",Salary Credit,Salary Credit,46774.13
5,11/06/2024,Loan EMI Payment,ICICI EMI,4544.68
5,2024-05-15,Salary Credit,Salary Credit,39432.53
5,06/03/2024,Utility Bill,Gas,356.01
5,16/05/2024,Utility Bill,Gas,4703.28
6,18/01/2025,Food & Dining,Starbucks,3792.48
6,20/09/2024,Salary Credit,Salary Credit,38550.74
6,2024-03-14,Salary Credit,Salary Credit,60767.04
6,"Mar 17, 2024",Loan EMI Payment,SBI Home Loan,3510.08
6,2024-11-23,Utility Bill,Water,4259.66
6,"Aug 19, 2024",Utility Bill,Water,4222.73
6,"Dec 25, 2024",Food & Dining,Swiggy,1022.11
6,10/03/2024,Utility Bill,Gas,4081.13
6,2024-12-04,Utility Bill,Electricity,4019.45
6,"Sep 06, 2024",Cash Withdrawals,Cash Withdrawals,390.88
6,2024-12-06,Utility Bill,Broadband,4352.91
6,2024-04-01,Food & Dining,Swiggy,4923.78
6,"Apr 02, 2024",Loan EMI Payment,ICICI EMI,4084.91
6,2024-10-26,Utility Bill,Electricity,1189.35
6,"Aug 15, 2024",Transfers,Transfers,932.45
6,2024-09-13,Salary Credit,Salary Credit,38611.0
6,"Apr 17, 2024",Food & Dining,Zomato,4730.88
6,"May 25, 2024",Salary Credit,Salary Credit,35526.0
6,2024-09-04,Shopping,Myntra,2028.36
6,2025-01-16,Cash Withdrawals,Cash Withdrawals,115.92
6,05/10/2024,Shopping,Myntra,4691.16
6,2024-07-26,Cash Withdrawals,Cash Withdrawals,2517.74
6,05/05/2024,Shopping,Myntra,3710.07
6,2025-02-07,Cash Withdrawals,Cash Withdrawals,4238.85
6,09/09/2024,Transfers,Transfers,209.56
6,2024-12-02,Shopping,Myntra,3609.03
6,2024-11-22,Food & Dining,Zomato,2392.93
6,2024-11-06,Shopping,Flipkart,2604.79
6,01/05/2024,Salary Credit,Salary Credit,91590.59
6,15/11/2024,Salary Credit,Salary Credit,69944.5
6,"Jun 13, 2024",Salary Credit,Salary Credit,81248.65
6,2024-07-16,Food & Dining,Zomato,626.58
6,2024-10-30,Transfers,Transfers,1066.82
6,22/10/2024,Utility Bill,Water,3647.15
6,07/07/2024,Transfers,Transfers,566.95
6,01/08/2024,Shopping,Myntra,862.89
6,27/01/2025,Shopping,Amazon,4367.33
6,01/09/2024,Utility Bill,Gas,1835.83
6,"Aug 06, 2024",Shopping,Myntra,2149.97
6,"Mar 30, 2024",Salary Credit,Salary Credit,41599.93
6,19/05/2024,Loan EMI Payment,HDFC Loan,2038.09
