Customer ID,Credit Score,Existing Loans,Utilization,Missed Payments (12M),Total Outstanding Debt,Debt-to-Income Ratio
1,800,0,0.26,0,455392.42,0.66
2,850,1,0.31,0,43903.64,0.74
3,900,2,0.07,0,209891.71,0.35
4,700,0,0.61,0,419420.6,0.57
5,710,1,0.74,3,223024.5,0.16
6,850,0,0.09,0,293949.88,0.11
7,650,1,0.94,5,75453.37,0.11
8,900,0,0.26,0,104756.17,0.26
9,660,5,0.8,3,86250.57,0.37
10,750,3,0.12,0,289461.34,0.77
11,520,3,0.69,6,396227.97,0.34
12,570,3,0.62,6,228920.02,0.45
13,800,4,0.21,0,256267.82,0.39
14,800,0,0.73,0,185454.02,0.27
15,710,2,0.1,3,356552.09,0.7
16,650,4,0.09,5,128573.46,0.75
17,680,1,0.17,4,408068.54,0.53
18,730,1,0.27,4,111811.61,0.77
19,810,1,0.01,3,51378.29,0.19
20,640,1,0.74,2,444384.1,0.78
21,690,5,0.69,2,147567.39,0.32
22,580,5,0.54,4,384242.43,0.36
23,660,2,0.51,3,97939.47,0.64
24,620,5,0.99,1,491552.18,0.58
25,600,3,0.28,5,443329.9,0.67
26,900,0,0.42,0,15999.88,0.4
27,820,1,0.13,1,252276.88,0.26
28,630,3,0.86,4,117428.6,0.22
29,750,4,0.32,0,487594.66,0.55
30,750,0,0.91,0,317545.54,0.13
31,660,3,0.76,3,85309.91,0.13
32,790,2,0.31,2,229379.01,0.67
33,900,0,0.01,0,141542.58,0.45
34,750,0,0.91,0,369509.05,0.3
35,620,5,0.79,1,330758.71,0.71
36,800,0,0.44,0,281371.51,0.76
37,620,4,0.78,1,422240.8,0.53
38,680,3,0.49,4,463397.55,0.43
39,700,0,0.53,0,261086.39,0.79
40,810,2,0.03,3,21916.33,0.25
41,700,0,0.84,0,297740.85,0.52
42,720,3,0.88,1,169147.77,0.46
43,750,0,0.55,0,379666.54,0.35
44,770,4,0.26,1,207708.15,0.65
45,710,4,0.4,3,47332.22,0.59
46,650,5,0.23,5,75026.33,0.69
47,720,1,0.61,1,353046.11,0.46
48,800,2,0.07,0,410766.57,0.55
49,500,4,0.85,5,325151.69,0.74
50,750,5,0.55,0,242276.75,0.43
51,600,1,0.93,5,323586.4,0.17
52,700,5,0.65,0,186688.67,0.74
53,600,5,0.96,5,193930.78,0.27
54,850,2,0.02,0,169906.5,0.66
55,640,4,1.0,2,198805.83,0.59
56,820,1,0.45,1,354231.59,0.31
57,720,2,0.96,1,84376.27,0.67
58,760,4,0.06,3,31500.29,0.27
59,850,0,0.41,0,37929.45,0.62
60,700,5,0.79,0,362815.32,0.25
61,600,5,0.95,5,241320.36,0.5
62,850,3,0.39,0,96555.73,0.32
63,700,0,0.6,0,487411.52,0.74
64,800,5,0.22,0,93572.24,0.77
65,840,1,0.16,2,72882.39,0.46
66,630,4,0.88,4,107050.8,0.33
67,690,3,0.42,2,494389.18,0.68
68,840,2,0.15,2,249060.65,0.11
69,670,5,0.03,6,14289.85,0.28
70,570,5,0.77,6,21025.73,0.46
71,740,2,0.37,2,367632.9,0.68
72,600,1,0.64,5,306599.6,0.16
73,700,0,0.94,0,436398.25,0.69
74,850,0,0.17,0,425737.32,0.34
75,550,1,0.6,5,346870.04,0.8
76,740,3,0.23,2,229651.15,0.63
77,750,1,0.06,5,84103.25,0.31
78,850,0,0.5,0,226414.98,0.78
79,580,4,0.74,4,319076.15,0.25
80,840,1,0.27,2,212295.24,0.38
81,650,4,0.37,5,283334.27,0.28
82,580,4,0.89,4,180039.46,0.7
83,650,4,0.09,5,241593.61,0.77
84,570,2,0.98,6,156212.59,0.52
85,710,2,0.91,3,70576.69,0.14
86,770,2,0.36,1,449235.75,0.57
87,800,2,0.07,0,497009.59,0.54
88,680,5,0.26,4,359027.99,0.19
89,520,2,0.6,6,323396.96,0.69
90,550,4,0.84,5,462912.47,0.16
91,700,5,0.45,5,81116.1,0.21
92,630,5,0.15,4,265051.37,0.76
93,620,5,0.09,6,323224.8,0.24
94,800,0,0.99,0,55641.04,0.3
95,600,4,0.54,5,49937.9,0.38
96,850,0,0.01,0,47278.02,0.67
97,690,4,0.37,2,363922.24,0.76
98,790,5,0.09,2,71546.63,0.11
99,780,1,0.34,4,203202.88,0.14
100,720,4,0.96,1,247506.88,0.19
101,850,0,0.39,0,458134.07,0.32
102,710,5,0.41,3,52474.42,0.71
103,870,1,0.36,1,210593.03,0.48
104,720,5,0.16,1,469775.22,0.58
105,790,4,0.11,2,226761.19,0.42
106,730,1,0.03,4,394560.7,0.12
107,610,4,0.95,3,70919.12,0.59
108,650,3,0.49,5,161995.31,0.78
109,620,3,0.45,6,336982.17,0.27
110,720,5,0.05,1,444266.38,0.72
111,600,5,0.5,5,283299.87,0.68
112,520,1,0.53,6,452414.85,0.6
113,680,5,0.04,4,211765.78,0.55
114,710,2,0.52,3,62984.2,0.35
115,670,3,0.43,6,181546.42,0.14
116,750,3,0.97,0,206990.34,0.38
117,720,1,0.96,1,16805.79,0.72
118,740,2,0.57,2,211310.66,0.1
119,720,4,0.82,1,173849.03,0.44
120,620,4,0.07,6,191637.21,0.54
121,680,4,0.42,4,136766.98,0.53
122,720,4,0.78,1,191816.64,0.28
123,500,4,0.55,5,391918.98,0.66
124,850,1,0.47,0,344775.92,0.31
125,850,0,0.35,0,420653.15,0.31
126,720,4,0.58,1,11415.55,0.45
127,720,2,0.74,1,43672.61,0.64
128,630,1,0.98,4,479615.33,0.19
129,710,4,0.05,3,409190.2,0.32
130,730,1,0.01,4,20343.16,0.71
131,900,0,0.47,0,137572.8,0.43
132,550,5,0.85,5,270118.45,0.49
133,900,0,0.48,0,85387.73,0.17
134,850,4,0.33,0,205946.01,0.17
135,730,1,0.16,4,280735.29,0.27
136,750,1,0.87,0,443557.2,0.28
137,740,2,0.18,2,271651.81,0.78
138,560,3,0.91,3,322937.7,0.65
139,660,5,0.68,3,93751.36,0.32
140,740,1,0.73,2,156725.25,0.2
141,770,3,0.06,1,200556.39,0.56
142,770,4,0.1,1,117308.97,0.54
143,850,0,0.36,0,349972.37,0.36
144,750,0,0.65,0,12473.35,0.63
145,740,4,0.1,2,350231.63,0.36
146,670,5,0.38,6,3305.5,0.11
147,600,1,0.95,5,68992.31,0.51
148,850,3,0.44,0,52598.7,0.32
149,750,0,0.94,0,15898.12,0.63
150,600,1,0.68,5,383517.6,0.33
151,650,1,0.27,5,493186.77,0.74
152,670,2,0.55,1,430168.6,0.51
153,570,2,0.65,6,189222.74,0.65
154,740,5,0.15,2,148563.83,0.78
155,850,0,0.16,0,291541.21,0.38
156,520,5,0.82,6,420621.02,0.28
157,720,1,0.59,1,313724.3,0.22
158,550,1,0.73,5,467133.11,0.71
159,630,2,0.67,4,209437.57,0.73
160,790,3,0.38,2,83499.22,0.25
161,650,3,0.02,5,298533.62,0.33
162,690,3,0.68,2,47746.8,0.15
163,700,0,0.65,0,395547.22,0.71
164,770,1,0.91,1,100979.09,0.37
165,610,2,0.95,3,266780.31,0.74
166,660,1,0.63,3,49805.47,0.51
167,740,3,0.02,2,457914.63,0.41
168,870,1,0.29,1,56672.02,0.12
169,570,4,0.38,6,373213.04,0.76
170,650,2,0.78,5,1080.07,0.47
171,700,5,0.11,5,129027.3,0.19
172,630,5,0.24,4,288774.64,0.59
173,670,5,0.6,1,434252.88,0.5
174,500,5,0.68,5,338684.72,0.58
175,610,4,0.98,3,86551.21,0.73
176,700,1,0.03,5,257202.41,0.18
177,650,1,0.43,5,460857.47,0.73
178,700,2,0.55,0,487151.89,0.55
179,800,3,0.43,0,479602.93,0.18
180,850,0,0.17,0,250814.04,0.49
181,750,2,0.33,5,96789.86,0.15
182,750,0,0.59,0,477896.57,0.35
183,720,5,0.97,1,98643.65,0.16
184,820,2,0.01,1,405816.41,0.44
185,800,2,0.63,0,178324.97,0.44
186,900,0,0.02,0,183780.76,0.23
187,680,1,0.88,4,132532.88,0.4
188,790,2,0.23,2,15056.32,0.77
189,900,1,0.26,0,87082.39,0.36
190,750,0,0.84,0,341450.25,0.44
191,520,1,0.97,6,264411.78,0.8
192,900,0,0.01,0,66102.04,0.32
193,670,3,0.11,6,18616.2,0.5
194,740,5,0.1,2,2655.43,0.61
195,700,4,0.11,5,208256.49,0.14
196,750,3,0.8,0,136175.53,0.17
197,690,5,0.61,2,160306.87,0.34
198,730,4,0.01,4,194629.96,0.34
199,800,2,0.0,0,328744.17,0.57
200,850,0,0.06,0,236543.61,0.79
201,710,4,0.4,3,14807.59,0.64
202,740,5,0.37,2,483806.79,0.27
203,800,0,0.22,0,333653.66,0.57
204,550,4,0.99,5,77288.15,0.57
205,800,0,0.25,0,275033.91,0.77
206,620,2,0.64,6,19075.92,0.4
207,730,2,0.21,4,432623.81,0.29
208,630,2,0.74,4,489240.06,0.27
209,640,4,0.89,2,204376.82,0.52
210,700,2,0.89,0,344542.67,0.69
211,720,1,0.22,6,153132.66,0.44
212,660,3,0.19,3,382566.58,0.75
213,750,0,0.83,0,106000.26,0.64
214,790,2,0.18,2,338829.39,0.34
215,710,2,0.64,3,35602.34,0.2
216,610,4,0.84,3,326814.05,0.22
217,640,2,0.96,2,423081.93,0.72
218,600,5,0.23,5,308140.5,0.62
219,680,2,0.75,4,144313.0,0.43
220,740,3,0.14,2,135319.99,0.67
221,680,3,0.25,4,186296.9,0.64
222,900,0,0.42,0,136369.53,0.47
223,650,2,0.09,5,476518.75,0.55
224,640,3,0.8,2,69613.95,0.68
225,690,2,0.51,2,186886.05,0.57
226,670,5,0.31,6,239505.14,0.19
227,790,2,0.43,2,144275.3,0.66
228,790,4,0.27,2,241221.0,0.45
229,770,4,0.07,1,381024.94,0.33
230,820,5,0.2,1,38132.73,0.24
231,900,0,0.0,0,55667.55,0.1
232,680,2,0.29,4,371586.67,0.78
233,620,3,0.22,6,313528.14,0.38
234,760,2,0.28,3,352436.36,0.2
235,660,2,0.98,3,427885.66,0.11
236,750,0,0.88,0,294693.96,0.18
237,670,4,0.88,1,51495.37,0.75
238,650,5,0.31,5,211810.82,0.65
239,760,2,0.42,3,358677.59,0.49
240,900,0,0.1,0,31579.67,0.28
241,720,1,0.41,6,1588.15,0.38
242,580,2,0.66,4,291596.29,0.7
243,620,4,0.31,6,429132.8,0.47
244,740,4,0.13,2,58649.39,0.52
245,850,0,0.09,0,312349.06,0.46
246,850,0,0.25,0,74804.08,0.78
247,810,1,0.32,3,19376.51,0.13
248,570,1,0.86,6,201435.93,0.52
249,500,5,0.96,5,329022.09,0.56
250,770,4,0.16,1,95076.17,0.68
251,570,2,0.99,6,235941.21,0.73
252,730,1,0.22,4,448552.16,0.37
253,700,1,0.37,5,429577.13,0.27
254,520,1,0.85,6,277046.8,0.65
255,820,5,0.34,1,106569.56,0.33
256,750,0,0.82,0,126263.21,0.65
257,750,0,0.82,0,363286.54,0.3
258,790,2,0.11,2,279017.1,0.26
259,850,0,0.29,0,140916.03,0.51
