Customer ID,Credit Score,Existing Loans,Utilization,Missed Payments (12M),Total Outstanding Debt,Debt-to-Income Ratio,Risk Classification
1,800,0,0.26,0,455392.42,0.66,High Risk
2,850,1,0.31,0,43903.64,0.74,High Risk
3,900,2,0.07,0,209891.71,0.35,Low Risk
4,700,0,0.61,0,419420.6,0.57,Low Risk
5,710,1,0.74,3,223024.5,0.16,High Risk
6,850,0,0.09,0,293949.88,0.11,Low Risk
7,650,1,0.94,5,75453.37,0.11,High Risk
8,900,0,0.26,0,104756.17,0.26,Low Risk
9,660,5,0.8,3,86250.57,0.37,High Risk
10,750,3,0.12,0,289461.34,0.77,High Risk
11,520,3,0.69,6,396227.97,0.34,High Risk
12,570,3,0.62,6,228920.02,0.45,High Risk
13,800,4,0.21,0,256267.82,0.39,Low Risk
14,800,0,0.73,0,185454.02,0.27,High Risk
15,710,2,0.1,3,356552.09,0.7,High Risk
16,650,4,0.09,5,128573.46,0.75,High Risk
17,680,1,0.17,4,408068.54,0.53,High Risk
18,730,1,0.27,4,111811.61,0.77,High Risk
19,810,1,0.01,3,51378.29,0.19,High Risk
20,640,1,0.74,2,444384.1,0.78,High Risk
21,690,5,0.69,2,147567.39,0.32,Low Risk
22,580,5,0.54,4,384242.43,0.36,High Risk
23,660,2,0.51,3,97939.47,0.64,High Risk
24,620,5,0.99,1,491552.18,0.58,High Risk
25,600,3,0.28,5,443329.9,0.67,High Risk
26,900,0,0.42,0,15999.88,0.4,Low Risk
27,820,1,0.13,1,252276.88,0.26,Low Risk
28,630,3,0.86,4,117428.6,0.22,High Risk
29,750,4,0.32,0,487594.66,0.55,Low Risk
30,750,0,0.91,0,317545.54,0.13,High Risk
31,660,3,0.76,3,85309.91,0.13,High Risk
32,790,2,0.31,2,229379.01,0.67,High Risk
33,900,0,0.01,0,141542.58,0.45,Low Risk
34,750,0,0.91,0,369509.05,0.3,High Risk
35,620,5,0.79,1,330758.71,0.71,High Risk
36,800,0,0.44,0,281371.51,0.76,High Risk
37,620,4,0.78,1,422240.8,0.53,High Risk
38,680,3,0.49,4,463397.55,0.43,High Risk
39,700,0,0.53,0,261086.39,0.79,High Risk
40,810,2,0.03,3,21916.33,0.25,High Risk
41,700,0,0.84,0,297740.85,0.52,High Risk
42,720,3,0.88,1,169147.77,0.46,High Risk
43,750,0,0.55,0,379666.54,0.35,Low Risk
44,770,4,0.26,1,207708.15,0.65,High Risk
45,710,4,0.4,3,47332.22,0.59,High Risk
46,650,5,0.23,5,75026.33,0.69,High Risk
47,720,1,0.61,1,353046.11,0.46,Low Risk
48,800,2,0.07,0,410766.57,0.55,Low Risk
49,500,4,0.85,5,325151.69,0.74,High Risk
50,750,5,0.55,0,242276.75,0.43,Low Risk
51,600,1,0.93,5,323586.4,0.17,High Risk
52,700,5,0.65,0,186688.67,0.74,High Risk
53,600,5,0.96,5,193930.78,0.27,High Risk
54,850,2,0.02,0,169906.5,0.66,High Risk
55,640,4,1.0,2,198805.83,0.59,High Risk
56,820,1,0.45,1,354231.59,0.31,Low Risk
57,720,2,0.96,1,84376.27,0.67,High Risk
58,760,4,0.06,3,31500.29,0.27,High Risk
59,850,0,0.41,0,37929.45,0.62,High Risk
60,700,5,0.79,0,362815.32,0.25,High Risk
61,600,5,0.95,5,241320.36,0.5,High Risk
62,850,3,0.39,0,96555.73,0.32,Low Risk
63,700,0,0.6,0,487411.52,0.74,High Risk
64,800,5,0.22,0,93572.24,0.77,High Risk
65,840,1,0.16,2,72882.39,0.46,Low Risk
66,630,4,0.88,4,107050.8,0.33,High Risk
67,690,3,0.42,2,494389.18,0.68,High Risk
68,840,2,0.15,2,249060.65,0.11,Low Risk
69,670,5,0.03,6,14289.85,0.28,High Risk
70,570,5,0.77,6,21025.73,0.46,High Risk
71,740,2,0.37,2,367632.9,0.68,High Risk
72,600,1,0.64,5,306599.6,0.16,High Risk
73,700,0,0.94,0,436398.25,0.69,High Risk
74,850,0,0.17,0,425737.32,0.34,Low Risk
75,550,1,0.6,5,346870.04,0.8,High Risk
76,740,3,0.23,2,229651.15,0.63,High Risk
77,750,1,0.06,5,84103.25,0.31,High Risk
78,850,0,0.5,0,226414.98,0.78,High Risk
79,580,4,0.74,4,319076.15,0.25,High Risk
80,840,1,0.27,2,212295.24,0.38,Low Risk
81,650,4,0.37,5,283334.27,0.28,High Risk
82,580,4,0.89,4,180039.46,0.7,High Risk
83,650,4,0.09,5,241593.61,0.77,High Risk
84,570,2,0.98,6,156212.59,0.52,High Risk
85,710,2,0.91,3,70576.69,0.14,High Risk
86,770,2,0.36,1,449235.75,0.57,Low Risk
87,800,2,0.07,0,497009.59,0.54,Low Risk
88,680,5,0.26,4,359027.99,0.19,High Risk
89,520,2,0.6,6,323396.96,0.69,High Risk
90,550,4,0.84,5,462912.47,0.16,High Risk
91,700,5,0.45,5,81116.1,0.21,High Risk
92,630,5,0.15,4,265051.37,0.76,High Risk
93,620,5,0.09,6,323224.8,0.24,High Risk
94,800,0,0.99,0,55641.04,0.3,High Risk
95,600,4,0.54,5,49937.9,0.38,High Risk
96,850,0,0.01,0,47278.02,0.67,High Risk
97,690,4,0.37,2,363922.24,0.76,High Risk
98,790,5,0.09,2,71546.63,0.11,Low Risk
99,780,1,0.34,4,203202.88,0.14,High Risk
100,720,4,0.96,1,247506.88,0.19,High Risk
101,850,0,0.39,0,458134.07,0.32,Low Risk
102,710,5,0.41,3,52474.42,0.71,High Risk
103,870,1,0.36,1,210593.03,0.48,Low Risk
104,720,5,0.16,1,469775.22,0.58,Low Risk
105,790,4,0.11,2,226761.19,0.42,Low Risk
106,730,1,0.03,4,394560.7,0.12,High Risk
107,610,4,0.95,3,70919.12,0.59,High Risk
108,650,3,0.49,5,161995.31,0.78,High Risk
109,620,3,0.45,6,336982.17,0.27,High Risk
